run_id,pid,exit_code,wallclock_s,max_rss_mb
650,13653,0,2.177131,114.738
651,13694,0,2.652456,114.609
652,13695,0,2.654545,114.379
653,13696,0,2.470756,112.066
654,13698,0,2.247772,111.234
655,13700,0,1.849428,109.609
656,13701,0,2.036415,109.492
657,13820,0,2.480416,114.270
658,13821,0,2.322804,112.375
659,13862,0,2.873590,115.039
660,13863,0,2.501837,115.355
661,13864,0,2.010012,109.566
662,13865,0,2.340859,112.523
663,13868,0,2.341417,111.910
664,13967,0,2.087197,112.168
665,13968,0,2.458518,114.121
666,14009,0,1.934868,111.477
667,14011,0,2.507923,114.555
668,14051,0,2.627742,112.152
669,14052,0,2.744884,112.793
670,14054,0,2.746087,112.867
671,14055,0,2.493106,110.430
672,14057,0,2.626558,112.613
673,14059,0,2.494800,112.574
674,14062,0,2.495184,111.828
675,14198,0,2.344488,111.875
676,14219,0,2.532272,113.676
677,14220,0,2.532025,112.113
678,14223,0,2.383662,110.883
679,14282,0,2.196376,110.426
680,14283,0,3.097167,115.863
681,14324,0,2.130898,111.285
682,14325,0,3.031879,115.008
683,14366,0,2.479076,114.543
684,14387,0,2.740683,115.207
685,14388,0,2.095396,110.625
686,14429,0,2.452678,112.926
687,14430,0,2.452238,112.320
688,14431,0,2.452434,113.332
689,14492,0,2.151912,110.184
690,14493,0,2.415118,111.875
691,14494,0,2.291094,112.539
692,14555,0,2.753771,115.484
693,14556,0,2.379063,113.148
694,14557,0,2.381081,113.230
695,14618,0,2.152476,111.941
696,14619,0,2.153871,110.793
697,14660,0,2.166298,113.684
698,14681,0,2.029188,111.270
699,14682,0,2.566154,114.473
700,14684,0,2.567136,113.305
701,14685,0,2.037905,111.234
702,14765,0,2.288979,113.711
703,14766,0,2.584742,114.965
